data,reparto_id,shift_code,coverage_code
2025-02-01,ADT,G,s
2025-02-01,REP0,G,S
2025-02-01,REP0,N,S
2025-02-01,REP0,P,S
2025-02-01,REP1,M,S
2025-02-01,REP1,N,S
2025-02-01,REP1,P,S
2025-02-01,REP2,M,S
2025-02-01,REP2,N,S
2025-02-01,REP2,P,S
2025-02-01,REP3,M,S
2025-02-01,REP3,N,S
2025-02-01,REP3,P,S
2025-02-01,REP5,M,S
2025-02-01,REP5,N,S
2025-02-01,REP5,P,S
2025-02-02,REP0,G,S
2025-02-02,REP0,N,S
2025-02-02,REP0,P,S
2025-02-02,REP1,M,S
2025-02-02,REP1,N,S
2025-02-02,REP1,P,S
2025-02-02,REP2,M,S
2025-02-02,REP2,N,S
2025-02-02,REP2,P,S
2025-02-02,REP3,M,S
2025-02-02,REP3,N,S
2025-02-02,REP3,P,S
2025-02-02,REP5,M,S
2025-02-02,REP5,N,S
2025-02-02,REP5,P,S
2025-02-03,ADT,G,p
2025-02-03,REP0,G,S
2025-02-03,REP0,N,S
2025-02-03,REP0,P,S
2025-02-03,REP1,M,S
2025-02-03,REP1,N,S
2025-02-03,REP1,P,S
2025-02-03,REP2,M,S
2025-02-03,REP2,N,S
2025-02-03,REP2,P,S
2025-02-03,REP3,M,S
2025-02-03,REP3,N,S
2025-02-03,REP3,P,S
2025-02-03,REP5,M,S
2025-02-03,REP5,N,S
2025-02-03,REP5,P,S
2025-02-04,ADT,G,p
2025-02-04,REP0,G,S
2025-02-04,REP0,N,S
2025-02-04,REP0,P,S
2025-02-04,REP1,M,S
2025-02-04,REP1,N,S
2025-02-04,REP1,P,S
2025-02-04,REP2,M,S
2025-02-04,REP2,N,S
2025-02-04,REP2,P,S
2025-02-04,REP3,M,S
2025-02-04,REP3,N,S
2025-02-04,REP3,P,S
2025-02-04,REP5,M,S
2025-02-04,REP5,N,S
2025-02-04,REP5,P,S
2025-02-05,ADT,G,p
2025-02-05,REP0,G,S
2025-02-05,REP0,N,S
2025-02-05,REP0,P,S
2025-02-05,REP1,M,S
2025-02-05,REP1,N,S
2025-02-05,REP1,P,S
2025-02-05,REP2,M,S
2025-02-05,REP2,N,S
2025-02-05,REP2,P,S
2025-02-05,REP3,M,S
2025-02-05,REP3,N,S
2025-02-05,REP3,P,S
2025-02-05,REP5,M,S
2025-02-05,REP5,N,S
2025-02-05,REP5,P,S
2025-02-06,ADT,G,p
2025-02-06,REP0,G,S
2025-02-06,REP0,N,S
2025-02-06,REP0,P,S
2025-02-06,REP1,M,S
2025-02-06,REP1,N,S
2025-02-06,REP1,P,S
2025-02-06,REP2,M,S
2025-02-06,REP2,N,S
2025-02-06,REP2,P,S
2025-02-06,REP3,M,S
2025-02-06,REP3,N,S
2025-02-06,REP3,P,S
2025-02-06,REP5,M,S
2025-02-06,REP5,N,S
2025-02-06,REP5,P,S
2025-02-07,ADT,G,p
2025-02-07,REP0,G,S
2025-02-07,REP0,N,S
2025-02-07,REP0,P,S
2025-02-07,REP1,M,S
2025-02-07,REP1,N,S
2025-02-07,REP1,P,S
2025-02-07,REP2,M,S
2025-02-07,REP2,N,S
2025-02-07,REP2,P,S
2025-02-07,REP3,M,S
2025-02-07,REP3,N,S
2025-02-07,REP3,P,S
2025-02-07,REP5,M,S
2025-02-07,REP5,N,S
2025-02-07,REP5,P,S
2025-02-08,ADT,G,s
2025-02-08,REP0,G,S
2025-02-08,REP0,N,S
2025-02-08,REP0,P,S
2025-02-08,REP1,M,S
2025-02-08,REP1,N,S
2025-02-08,REP1,P,S
2025-02-08,REP2,M,S
2025-02-08,REP2,N,S
2025-02-08,REP2,P,S
2025-02-08,REP3,M,S
2025-02-08,REP3,N,S
2025-02-08,REP3,P,S
2025-02-08,REP5,M,S
2025-02-08,REP5,N,S
2025-02-08,REP5,P,S
2025-02-09,REP0,G,S
2025-02-09,REP0,N,S
2025-02-09,REP0,P,S
2025-02-09,REP1,M,S
2025-02-09,REP1,N,S
2025-02-09,REP1,P,S
2025-02-09,REP2,M,S
2025-02-09,REP2,N,S
2025-02-09,REP2,P,S
2025-02-09,REP3,M,S
2025-02-09,REP3,N,S
2025-02-09,REP3,P,S
2025-02-09,REP5,M,S
2025-02-09,REP5,N,S
2025-02-09,REP5,P,S
2025-02-10,ADT,G,p
2025-02-10,REP0,G,S
2025-02-10,REP0,N,S
2025-02-10,REP0,P,S
2025-02-10,REP1,M,S
2025-02-10,REP1,N,S
2025-02-10,REP1,P,S
2025-02-10,REP2,M,S
2025-02-10,REP2,N,S
2025-02-10,REP2,P,S
2025-02-10,REP3,M,S
2025-02-10,REP3,N,S
2025-02-10,REP3,P,S
2025-02-10,REP5,M,S
2025-02-10,REP5,N,S
2025-02-10,REP5,P,S
2025-02-11,ADT,G,p
2025-02-11,REP0,G,S
2025-02-11,REP0,N,S
2025-02-11,REP0,P,S
2025-02-11,REP1,M,S
2025-02-11,REP1,N,S
2025-02-11,REP1,P,S
2025-02-11,REP2,M,S
2025-02-11,REP2,N,S
2025-02-11,REP2,P,S
2025-02-11,REP3,M,S
2025-02-11,REP3,N,S
2025-02-11,REP3,P,S
2025-02-11,REP5,M,S
2025-02-11,REP5,N,S
2025-02-11,REP5,P,S
2025-02-12,ADT,G,p
2025-02-12,REP0,G,S
2025-02-12,REP0,N,S
2025-02-12,REP0,P,S
2025-02-12,REP1,M,S
2025-02-12,REP1,N,S
2025-02-12,REP1,P,S
2025-02-12,REP2,M,S
2025-02-12,REP2,N,S
2025-02-12,REP2,P,S
2025-02-12,REP3,M,S
2025-02-12,REP3,N,S
2025-02-12,REP3,P,S
2025-02-12,REP5,M,S
2025-02-12,REP5,N,S
2025-02-12,REP5,P,S
2025-02-13,ADT,G,p
2025-02-13,REP0,G,S
2025-02-13,REP0,N,S
2025-02-13,REP0,P,S
2025-02-13,REP1,M,S
2025-02-13,REP1,N,S
2025-02-13,REP1,P,S
2025-02-13,REP2,M,S
2025-02-13,REP2,N,S
2025-02-13,REP2,P,S
2025-02-13,REP3,M,S
2025-02-13,REP3,N,S
2025-02-13,REP3,P,S
2025-02-13,REP5,M,S
2025-02-13,REP5,N,S
2025-02-13,REP5,P,S
2025-02-14,ADT,G,p
2025-02-14,REP0,G,S
2025-02-14,REP0,N,S
2025-02-14,REP0,P,S
2025-02-14,REP1,M,S
2025-02-14,REP1,N,S
2025-02-14,REP1,P,S
2025-02-14,REP2,M,S
2025-02-14,REP2,N,S
2025-02-14,REP2,P,S
2025-02-14,REP3,M,S
2025-02-14,REP3,N,S
2025-02-14,REP3,P,S
2025-02-14,REP5,M,S
2025-02-14,REP5,N,S
2025-02-14,REP5,P,S
2025-02-15,ADT,G,s
2025-02-15,REP0,G,S
2025-02-15,REP0,N,S
2025-02-15,REP0,P,S
2025-02-15,REP1,M,S
2025-02-15,REP1,N,S
2025-02-15,REP1,P,S
2025-02-15,REP2,M,S
2025-02-15,REP2,N,S
2025-02-15,REP2,P,S
2025-02-15,REP3,M,S
2025-02-15,REP3,N,S
2025-02-15,REP3,P,S
2025-02-15,REP5,M,S
2025-02-15,REP5,N,S
2025-02-15,REP5,P,S
2025-02-16,REP0,G,S
2025-02-16,REP0,N,S
2025-02-16,REP0,P,S
2025-02-16,REP1,M,S
2025-02-16,REP1,N,S
2025-02-16,REP1,P,S
2025-02-16,REP2,M,S
2025-02-16,REP2,N,S
2025-02-16,REP2,P,S
2025-02-16,REP3,M,S
2025-02-16,REP3,N,S
2025-02-16,REP3,P,S
2025-02-16,REP5,M,S
2025-02-16,REP5,N,S
2025-02-16,REP5,P,S
2025-02-17,ADT,G,p
2025-02-17,REP0,G,S
2025-02-17,REP0,N,S
2025-02-17,REP0,P,S
2025-02-17,REP1,M,S
2025-02-17,REP1,N,S
2025-02-17,REP1,P,S
2025-02-17,REP2,M,S
2025-02-17,REP2,N,S
2025-02-17,REP2,P,S
2025-02-17,REP3,M,S
2025-02-17,REP3,N,S
2025-02-17,REP3,P,S
2025-02-17,REP5,M,S
2025-02-17,REP5,N,S
2025-02-17,REP5,P,S
2025-02-18,ADT,G,p
2025-02-18,REP0,G,S
2025-02-18,REP0,N,S
2025-02-18,REP0,P,S
2025-02-18,REP1,M,S
2025-02-18,REP1,N,S
2025-02-18,REP1,P,S
2025-02-18,REP2,M,S
2025-02-18,REP2,N,S
2025-02-18,REP2,P,S
2025-02-18,REP3,M,S
2025-02-18,REP3,N,S
2025-02-18,REP3,P,S
2025-02-18,REP5,M,S
2025-02-18,REP5,N,S
2025-02-18,REP5,P,S
2025-02-19,ADT,G,p
2025-02-19,REP0,G,S
2025-02-19,REP0,N,S
2025-02-19,REP0,P,S
2025-02-19,REP1,M,S
2025-02-19,REP1,N,S
2025-02-19,REP1,P,S
2025-02-19,REP2,M,S
2025-02-19,REP2,N,S
2025-02-19,REP2,P,S
2025-02-19,REP3,M,S
2025-02-19,REP3,N,S
2025-02-19,REP3,P,S
2025-02-19,REP5,M,S
2025-02-19,REP5,N,S
2025-02-19,REP5,P,S
2025-02-20,ADT,G,p
2025-02-20,REP0,G,S
2025-02-20,REP0,N,S
2025-02-20,REP0,P,S
2025-02-20,REP1,M,S
2025-02-20,REP1,N,S
2025-02-20,REP1,P,S
2025-02-20,REP2,M,S
2025-02-20,REP2,N,S
2025-02-20,REP2,P,S
2025-02-20,REP3,M,S
2025-02-20,REP3,N,S
2025-02-20,REP3,P,S
2025-02-20,REP5,M,S
2025-02-20,REP5,N,S
2025-02-20,REP5,P,S
2025-02-21,ADT,G,p
2025-02-21,REP0,G,S
2025-02-21,REP0,N,S
2025-02-21,REP0,P,S
2025-02-21,REP1,M,S
2025-02-21,REP1,N,S
2025-02-21,REP1,P,S
2025-02-21,REP2,M,S
2025-02-21,REP2,N,S
2025-02-21,REP2,P,S
2025-02-21,REP3,M,S
2025-02-21,REP3,N,S
2025-02-21,REP3,P,S
2025-02-21,REP5,M,S
2025-02-21,REP5,N,S
2025-02-21,REP5,P,S
2025-02-22,ADT,G,s
2025-02-22,REP0,G,S
2025-02-22,REP0,N,S
2025-02-22,REP0,P,S
2025-02-22,REP1,M,S
2025-02-22,REP1,N,S
2025-02-22,REP1,P,S
2025-02-22,REP2,M,S
2025-02-22,REP2,N,S
2025-02-22,REP2,P,S
2025-02-22,REP3,M,S
2025-02-22,REP3,N,S
2025-02-22,REP3,P,S
