shift_code,role,allowed
F,ASA,False
F,FIS.,False
F,IP,False
F,LOGO,False
F,MEDGU,False
F,MEDSP,False
F,NEURO,False
F,OSS,False
F,TEROC,False
G,ASA,False
G,FIS.,True
G,IP,True
G,LOGO,True
G,MEDGU,False
G,MEDSP,True
G,NEURO,True
G,OSS,True
G,TEROC,True
M,ASA,True
M,FIS.,False
M,IP,True
M,LOGO,False
M,MEDGU,False
M,MEDSP,False
M,NEURO,False
M,OSS,True
M,TEROC,False
N,ASA,False
N,FIS.,False
N,IP,True
N,LOGO,False
N,MEDGU,True
N,MEDSP,False
N,NEURO,False
N,OSS,True
N,TEROC,False
P,ASA,True
P,FIS.,False
P,IP,True
P,LOGO,False
P,MEDGU,False
P,MEDSP,False
P,NEURO,False
P,OSS,True
P,TEROC,False
