coverage_code,shift_code,reparto_id,gruppo,role,ruolo,min_ruolo
p,G,ADT,000,OSS,OSS,0
s,G,ADT,000,OSS,OSS,2
S,G,REP0,000,IP,IP,1
S,G,REP0,000,OSS,OSS,1
S,N,REP0,000,IP,IP,1
S,P,REP0,000,IP,IP,1
S,P,REP0,000,OSS,OSS,0
S,M,REP2,000,IP,IP,2
S,M,REP2,000,OSS,OSS,5
S,N,REP2,000,IP,IP,1
S,N,REP2,000,OSS,OSS,1
S,P,REP2,000,IP,IP,2
S,P,REP2,000,OSS,OSS,3
S,M,REP3,000,IP,IP,2
S,M,REP3,000,OSS,OSS,5
S,N,REP3,000,IP,IP,1
S,N,REP3,000,OSS,OSS,1
S,P,REP3,000,IP,IP,2
S,P,REP3,000,OSS,OSS,3
S,M,REP5,000,IP,IP,2
S,M,REP5,000,OSS,OSS,5
S,N,REP5,000,IP,IP,1
S,N,REP5,000,OSS,OSS,1
S,P,REP5,000,IP,IP,2
S,P,REP5,000,OSS,OSS,3
